Architecture    Offer                                               Publisher                           Sku                                                Urn                                                                                                                               Version
--------------  --------------------------------------------------  ----------------------------------  -------------------------------------------------  --------------------------------------------------------------------------------------------------------------------------------  ---------------------
x64             deviceon_ads_windows_v1                             advantech                           standard                                           advantech:deviceon_ads_windows_v1:standard:4.1.271                                                                                4.1.271
x64             deviceon_ads_windows_v1                             advantech                           standard                                           advantech:deviceon_ads_windows_v1:standard:4.1.28                                                                                 4.1.28
x64             deviceon_iedge_on_windows_vm_v1                     advantech                           standard                                           advantech:deviceon_iedge_on_windows_vm_v1:standard:1.1.139                                                                        1.1.139
x64             deviecon_on_windows_vm_v1                           advantech                           deviceon                                           advantech:deviecon_on_windows_vm_v1:deviceon:4.6.3                                                                                4.6.3
x64             deviecon_on_windows_vm_v1                           advantech                           deviceon_edgeimpulse                               advantech:deviecon_on_windows_vm_v1:deviceon_edgeimpulse:4.5.7                                                                    4.5.7
x64             deviecon_on_windows_vm_v1                           advantech                           deviceon_edgeimpulse                               advantech:deviecon_on_windows_vm_v1:deviceon_edgeimpulse:4.5.8                                                                    4.5.8
x64             deviecon_on_windows_vm_v1                           advantech                           standard                                           advantech:deviecon_on_windows_vm_v1:standard:4.3.3                                                                                4.3.3
x64             deviecon_on_windows_vm_v1                           advantech                           test                                               advantech:deviecon_on_windows_vm_v1:test:4.6.3                                                                                    4.6.3
x64             deviecon_sqmanager_on_windows_v1                    advantech                           standard                                           advantech:deviecon_sqmanager_on_windows_v1:standard:1.0.3                                                                         1.0.3
x64             wise-pass_dashboard_on_windows                      advantech                           standard                                           advantech:wise-pass_dashboard_on_windows:standard:1.0.0                                                                           1.0.0
x64             andiparos-on-windows-server-2019                    apps-4-rent                         andiparos-on-windows-server-2019                   apps-4-rent:andiparos-on-windows-server-2019:andiparos-on-windows-server-2019:1.0.1                                               1.0.1
x64             apps4rent-er-builder-windows-2016                   apps-4-rent                         apps4rent-sql-2017-std-er-builder-windows-16       apps-4-rent:apps4rent-er-builder-windows-2016:apps4rent-sql-2017-std-er-builder-windows-16:3.0.0                                  3.0.0
x64             windows-16-dc-minimal                               articentgroupllc1635512619530       windows-16-dc-minimal                              articentgroupllc1635512619530:windows-16-dc-minimal:windows-16-dc-minimal:1.0.0                                                   1.0.0
x64             audacity-on-windows2016                             apps-4-rent                         audacity-on-windows2016                            apps-4-rent:audacity-on-windows2016:audacity-on-windows2016:1.0.0                                                                 1.0.0
x64             windows-19-dc-minimal                               articentgroupllc1635512619530       windows-19-dc-minimal                              articentgroupllc1635512619530:windows-19-dc-minimal:windows-19-dc-minimal:1.0.0                                                   1.0.0
x64             brackets_on_windows_server_2016                     askforcloudllc1651766049149         brackets_on_windows_server_2016                    askforcloudllc1651766049149:brackets_on_windows_server_2016:brackets_on_windows_server_2016:0.0.1                                 0.0.1
x64             audacity-on-windows2019                             apps-4-rent                         audacity-on-windows2019                            apps-4-rent:audacity-on-windows2019:audacity-on-windows2019:1.0.0                                                                 1.0.0
x64             windows-22-dc-azure-edition-minimal                 articentgroupllc1635512619530       windows-22-dc-azure-edition-minimal                articentgroupllc1635512619530:windows-22-dc-azure-edition-minimal:windows-22-dc-azure-edition-minimal:1.0.0                       1.0.0
x64             brackets_on_windows_server_2019                     askforcloudllc1651766049149         brackets_on_windows_server_2019                    askforcloudllc1651766049149:brackets_on_windows_server_2019:brackets_on_windows_server_2019:0.0.1                                 0.0.1
x64             audacity-on-windows2022                             apps-4-rent                         audacity-on-windows2022                            apps-4-rent:audacity-on-windows2022:audacity-on-windows2022:1.0.0                                                                 1.0.0
x64             brackets_on_windows_server_2022                     askforcloudllc1651766049149         brackets_on_windows_server_2022                    askforcloudllc1651766049149:brackets_on_windows_server_2022:brackets_on_windows_server_2022:0.0.1                                 0.0.1
x64             consul_on_windows_server_2012r2                     askforcloudllc1651766049149         consul_on_windows_server_2012r2                    askforcloudllc1651766049149:consul_on_windows_server_2012r2:consul_on_windows_server_2012r2:0.0.1                                 0.0.1
x64             avidemux-on-windows-server2022                      apps-4-rent                         avidemux-on-windows-server2022                     apps-4-rent:avidemux-on-windows-server2022:avidemux-on-windows-server2022:1.0.0                                                   1.0.0
x64             consul_on_windows_server_2016                       askforcloudllc1651766049149         consul_on_windows_server_2016                      askforcloudllc1651766049149:consul_on_windows_server_2016:consul_on_windows_server_2016:0.0.1                                     0.0.1
x64             blender-3d-on-windows-server-2019                   apps-4-rent                         blender-3d-on-windows-server-2019                  apps-4-rent:blender-3d-on-windows-server-2019:blender-3d-on-windows-server-2019:1.0.1                                             1.0.1
x64             consul_on_windows_server_2019                       askforcloudllc1651766049149         consul_on_windows_server_2019                      askforcloudllc1651766049149:consul_on_windows_server_2019:consul_on_windows_server_2019:0.0.1                                     0.0.1
x64             blender-3d-windows-server-2016                      apps-4-rent                         blender-3d-on-windows-server-2016                  apps-4-rent:blender-3d-windows-server-2016:blender-3d-on-windows-server-2016:2.0.2                                                2.0.2
x64             azul-zulu11-windows-2019                            azul                                azul-zulu11-windows2019                            azul:azul-zulu11-windows-2019:azul-zulu11-windows2019:21.10.0                                                                     21.10.0
x64             blender-3d-windows-server-2016                      apps-4-rent                         blender-3d-on-windows-server-2016-v1               apps-4-rent:blender-3d-windows-server-2016:blender-3d-on-windows-server-2016-v1:2.0.3                                             2.0.3
x64             consul_on_windows_server_2022                       askforcloudllc1651766049149         consul_on_windows_server_2022                      askforcloudllc1651766049149:consul_on_windows_server_2022:consul_on_windows_server_2022:0.0.1                                     0.0.1
x64             azul-zulu13-windows-2019                            azul                                azul-zulu13-windows2019                            azul:azul-zulu13-windows-2019:azul-zulu13-windows2019:21.10.0                                                                     21.10.0
x64             blogengine-windows-server-2016                      apps-4-rent                         blogengine-windows-server-2016-v1                  apps-4-rent:blogengine-windows-server-2016:blogengine-windows-server-2016-v1:1.0.1                                                1.0.1
x64             dns_windows_server2012r2                            askforcloudllc1651766049149         dns_windows_server2012r2                           askforcloudllc1651766049149:dns_windows_server2012r2:dns_windows_server2012r2:0.0.1                                               0.0.1
x64             azul-zulu15-windows-2019                            azul                                zulu-jdk15-windows2019                             azul:azul-zulu15-windows-2019:zulu-jdk15-windows2019:21.10.0                                                                      21.10.0
x64             blogengine-windows-server-2019                      apps-4-rent                         blogengine-windows-server-2019-v1                  apps-4-rent:blogengine-windows-server-2019:blogengine-windows-server-2019-v1:1.0.2                                                1.0.2
x64             dns_windows_server2016                              askforcloudllc1651766049149         dns_windows_server2016                             askforcloudllc1651766049149:dns_windows_server2016:dns_windows_server2016:0.0.1                                                   0.0.1
x64             azul-zulu17-windows-2019                            azul                                zulu-jdk17-windows2019                             azul:azul-zulu17-windows-2019:zulu-jdk17-windows2019:21.10.0                                                                      21.10.0
x64             bluefish-editor-windows-server-2016                 apps-4-rent                         bluefish-editor-on-windows-server-2016-v1          apps-4-rent:bluefish-editor-windows-server-2016:bluefish-editor-on-windows-server-2016-v1:1.0.1                                   1.0.1
x64             dns_windows_server2019                              askforcloudllc1651766049149         dns_windows_server2019                             askforcloudllc1651766049149:dns_windows_server2019:dns_windows_server2019:0.0.1                                                   0.0.1
x64             azul-zulu7-windows-2019                             azul                                azul-zulu7-windows2019                             azul:azul-zulu7-windows-2019:azul-zulu7-windows2019:21.10.0                                                                       21.10.0
x64             rendering-windows2016                               batch                               rendering                                          batch:rendering-windows2016:rendering:1.3.7                                                                                       1.3.7
x64             rendering-windows2016                               batch                               rendering                                          batch:rendering-windows2016:rendering:1.3.8                                                                                       1.3.8
x64             rendering-windows2016                               batch                               rendering                                          batch:rendering-windows2016:rendering:1.4.2                                                                                       1.4.2
x64             rendering-windows2016                               batch                               rendering                                          batch:rendering-windows2016:rendering:1.5.0                                                                                       1.5.0
x64             rendering-windows2016                               batch                               rendering                                          batch:rendering-windows2016:rendering:1.6.0                                                                                       1.6.0
x64             bluefish-editor-windows-server-2019                 apps-4-rent                         bluefish-editor-windows-server-2019-v1             apps-4-rent:bluefish-editor-windows-server-2019:bluefish-editor-windows-server-2019-v1:1.0.1                                      1.0.1
x64             dns_windows_server2022                              askforcloudllc1651766049149         dns_windows_server2022                             askforcloudllc1651766049149:dns_windows_server2022:dns_windows_server2022:0.0.1                                                   0.0.1
x64             azul-zulu8-windows-2019                             azul                                azul-zulu8-windows2019                             azul:azul-zulu8-windows-2019:azul-zulu8-windows2019:21.07.0                                                                       21.07.0
x64             azul-zulu8-windows-2019                             azul                                azul-zulu8-windows2019                             azul:azul-zulu8-windows-2019:azul-zulu8-windows2019:21.10.0                                                                       21.10.0
x64             brackets-windows-server-2016                        apps-4-rent                         brackets-v1                                        apps-4-rent:brackets-windows-server-2016:brackets-v1:1.0.1                                                                        1.0.1
x64             dotnet_on_windows_server_2019                       askforcloudllc1651766049149         dotnet_on_windows_server_2019                      askforcloudllc1651766049149:dotnet_on_windows_server_2019:dotnet_on_windows_server_2019:0.0.1                                     0.0.1
x64             brackets-windows-server-2019                        apps-4-rent                         brackets-windows-server-2019-v1                    apps-4-rent:brackets-windows-server-2019:brackets-windows-server-2019-v1:1.0.1                                                    1.0.1
x64             firebird_on_windows_server_2012r2                   askforcloudllc1651766049149         firebird_on_windows_server_2012r2                  askforcloudllc1651766049149:firebird_on_windows_server_2012r2:firebird_on_windows_server_2012r2:0.0.1                             0.0.1
x64             bissan_secure_windows_server2019                    bissantechnology1583581147809       secureserver2019                                   bissantechnology1583581147809:bissan_secure_windows_server2019:secureserver2019:7.5.20220817                                      7.5.20220817
x64             clamav-on-windows-server-2016                       apps-4-rent                         clamav-on-windows-server-2016                      apps-4-rent:clamav-on-windows-server-2016:clamav-on-windows-server-2016:1.0.0                                                     1.0.0
x64             firebird_on_windows_server_2016                     askforcloudllc1651766049149         firebird_on_windows_server_2016                    askforcloudllc1651766049149:firebird_on_windows_server_2016:firebird_on_windows_server_2016:0.0.1                                 0.0.1
x64             r_on_windows_server2019                             bissantechnology1583581147809       ronsecureserver2019                                bissantechnology1583581147809:r_on_windows_server2019:ronsecureserver2019:7.5.20220817                                            7.5.20220817
x64             clockify-on-windows-server2016                      apps-4-rent                         clockify-on-windows-server2016                     apps-4-rent:clockify-on-windows-server2016:clockify-on-windows-server2016:1.0.0                                                   1.0.0
x64             firebird_on_windows_server_2019                     askforcloudllc1651766049149         firebird_on_windows_server_2019                    askforcloudllc1651766049149:firebird_on_windows_server_2019:firebird_on_windows_server_2019:0.0.1                                 0.0.1
x64             clockify-on-windows-server2019                      apps-4-rent                         clockify-on-windows-server2019                     apps-4-rent:clockify-on-windows-server2019:clockify-on-windows-server2019:1.0.0                                                   1.0.0
x64             firebird_on_windows_server_2022                     askforcloudllc1651766049149         firebird_on_windows_server_2022                    askforcloudllc1651766049149:firebird_on_windows_server_2022:firebird_on_windows_server_2022:0.0.1                                 0.0.1
x64             clockify-on-windows-server2022                      apps-4-rent                         clockify-on-windows-server2022                     apps-4-rent:clockify-on-windows-server2022:clockify-on-windows-server2022:1.0.0                                                   1.0.0
